chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0,444180,0,0,-1,1,0,3,0.0,0.0,0,Jaidon,0.0,62,False,Season-long loan to Leeds United,2023-09-03T20:09:06.556250Z,49,444180.jpg,1.0,Anthony,0.0,False,,u,3,91,3,1618,0,12807,0,0.0,0.6,Anthony,151,0,0,0,5,0,0,0,1,0,0,0,4,9.0,4.6,16.0,3.0,2,0.07,0.02,0.09,4.44,470,209,438,214,396,195,466,212,,,,,,,0.04,0.0,0.01,0.05,2.65,2.98,266,170,747,311,482,226,544,193,1.19,0.0
0,0,168991,0,0,-3,3,0,3,0.0,0.0,0,Philip,-0.2,63,False,Suspended until 03 Mar,2024-02-04T21:00:08.947509Z,52,168991.jpg,2.5,Billing,0.3,False,,s,3,91,49,65066,8,112321,428,0.0,9.4,Billing,1195,2,3,1,31,0,0,0,3,1,0,3,186,267.2,246.7,217.0,72.8,12,2.08,1.76,3.84,25.44,178,73,97,73,110,71,120,72,,,1,,,,0.16,0.0,0.13,0.29,1.92,2.33,154,96,812,354,233,102,287,95,0.9,0.08
0,0,111317,0,0,-3,3,0,3,0.0,0.0,0,David,0.2,64,False,Joined Southampton on loan until the end of the season,2024-02-01T07:18:01.865952Z,47,111317.jpg,1.8,Brooks,0.1,False,,u,3,91,23,9628,0,15414,40,0.0,4.9,Brooks,271,1,1,0,7,0,0,0,1,0,0,2,71,88.2,112.4,113.0,31.4,2,2.45,0.47,2.92,6.08,344,147,211,129,188,107,290,136,,,,,,,0.81,0.0,0.16,0.97,2.02,2.32,312,204,371,171,333,142,502,171,0.66,0.0
100,100,158499,0,0,0,0,0,3,1.0,1.5,2,Ryan,1.5,65,False,,2024-02-05T14:00:08.189778Z,50,158499.jpg,2.3,Christie,0.1,False,,a,3,91,53,20775,55,18480,77,0.3,10.6,Christie,1805,0,2,5,37,0,0,0,3,0,0,3,242,324.0,389.1,253.0,97.0,22,1.15,3.44,4.59,29.55,130,56,47,38,88,57,72,52,4,,,,,,0.06,0.0,0.17,0.23,1.47,1.84,185,112,206,98,262,113,476,159,1.1,0.25
100,100,155408,0,0,0,0,0,3,1.0,1.5,2,Lewis,1.5,66,False,,2023-12-23T22:30:08.669674Z,50,155408.jpg,2.0,Cook,0.0,False,,a,3,91,36,2913,11,4242,12,0.3,7.2,L.Cook,1441,0,1,4,29,0,0,0,3,1,0,2,228,247.0,348.0,23.0,61.9,17,0.09,1.78,1.87,27.90,198,82,60,49,373,186,158,84,2,,,,,,0.01,0.0,0.11,0.12,1.74,1.81,183,111,205,97,300,129,600,224,1.06,0.25
0,0,244085,0,0,0,0,0,3,0.0,0.0,0,Siriki,0.0,67,False,Permanent Transfer to Birmingham,2023-07-17T06:20:36.127600Z,45,244085.jpg,0.0,Dembélé,0.0,False,,u,3,91,0,0,0,392,0,0.0,0.0,Siriki,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,695,270,691,271,673,263,700,272,,,,,,,0,0,0,0,0,0,400,233,628,228,702,275,771,322,0,0
0,0,81012,0,0,-2,2,0,2,0.0,0.0,0,Ryan,0.0,68,False,Calf injury - Unknown return date,2023-08-06T23:30:05.414382Z,43,81012.jpg,0.0,Fredericks,0.0,False,,i,3,91,0,797,6,2396,4,0.0,0.0,Fredericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,639,248,627,247,595,242,643,248,,,,,,,0,0,0,0,0,0,594,126,535,218,648,245,679,238,0,0
0,0,463981,0,0,0,0,0,2,0.0,0.0,0,James,0.2,69,False,Ankle injury - Expected back 16 Mar,2024-01-26T02:00:09.620549Z,40,463981.jpg,1.0,Hill,0.1,False,,i,3,91,2,6758,7,22214,20,0.0,0.5,Hill,69,0,0,0,1,0,0,0,0,0,0,0,11,22.2,2.2,0.0,2.5,1,0.00,0.01,0.01,1.15,445,164,449,165,545,209,472,169,,,,,,,0.0,0.0,0.01,0.01,1.5,1.3,720,205,339,112,430,150,409,158,1.3,0.0
100,100,235530,0,0,0,0,0,2,0.5,1.0,0,Lloyd,1.0,70,False,,2023-11-25T19:00:08.932055Z,45,235530.jpg,1.8,Kelly,0.0,False,,a,3,91,24,12363,41,12029,52,0.2,5.3,Kelly,920,0,0,2,21,0,0,0,1,0,0,3,165,150.0,73.8,29.0,25.2,11,0.19,0.17,0.36,14.37,286,112,278,86,348,118,325,115,,,,,,,0.02,0.0,0.02,0.04,1.41,2.05,398,76,249,83,331,117,521,196,1.08,0.2
0,0,444183,0,0,-2,2,0,3,0.0,0.0,0,Gavin,0.0,71,False,Season-long loan to Fleetwood Town,2024-02-04T18:43:28.161754Z,43,444183.jpg,0.0,Kilkenny,0.1,False,,u,3,91,0,8269,0,10851,63,0.0,0.0,Kilkenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,649,244,638,247,606,232,653,246,,,,,,,0,0,0,0,0,0,629,344,552,193,658,252,474,158,0,0
