chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
100,100,444145,0,0,-3,3,1,3,7.3,7.3,0,Gabriel,6.8,12,False,,2023-12-12T17:30:08.345180Z,77,444145.jpg,4.0,Martinelli Silva,6.1,False,,a,1,3,84,1113842,2045,1919254,1404,0.9,10.9,Martinelli,1456,5,3,6,18,0,0,0,1,0,0,6,295,360.8,485.8,546.0,138.7,19,4.11,3.12,7.23,11.17,97,37,23,18,20,11,21,12,,,,,,,0.25,0.0,0.19,0.44,0.69,1.11,19,12,10,6,55,34,63,23,1.17,0.37
100,100,205533,0,0,-3,3,1,4,1.7,1.7,0,Eddie,1.2,13,False,,2023-11-09T08:30:08.250179Z,52,205533.jpg,3.1,Nketiah,3.7,False,,a,1,3,65,1558349,497,1619782,831,0.2,12.5,Nketiah,979,5,4,6,9,0,0,0,3,0,0,5,198,226.8,122.5,357.0,69.6,10,4.19,0.47,4.66,9.54,202,26,190,28,51,23,122,24,,,,,,,0.39,0.0,0.04,0.43,0.88,0.83,156,39,224,32,145,25,89,17,0.92,0.55
100,100,184029,0,0,-1,1,1,3,2.3,2.3,0,Martin,1.8,14,False,,2023-11-04T21:00:08.152623Z,84,184029.jpg,4.5,Ødegaard,14.7,False,,a,1,3,90,1897711,600,2859743,4748,0.2,10.7,Ødegaard,1779,4,4,7,19,0,0,0,1,0,0,12,356,443.0,804.5,439.0,168.6,20,4.55,5.47,10.02,15.89,51,17,5,4,37,21,10,7,3,,1,,2,,0.23,0.0,0.28,0.51,0.8,0.96,10,6,186,84,35,23,29,11,1.01,0.35
0,0,167199,0,0,-2,2,0,3,0.0,0.0,0,Thomas,0.0,15,False,Muscle injury - Unknown return date,2023-10-25T12:00:07.465521Z,48,167199.jpg,1.8,Partey,0.1,False,,i,1,3,7,8641,1,37486,5,0.0,1.5,Thomas,250,0,0,1,2,0,0,0,0,0,0,0,58,55.8,60.0,15.0,13.1,3,0.07,0.21,0.28,2.53,389,169,297,162,397,196,390,176,,,,,,,0.03,0.0,0.08,0.11,0.91,0.72,286,186,715,290,338,146,368,118,1.08,0.36
0,0,195735,0,0,-1,1,0,3,0.0,0.0,0,Nicolas,0.0,16,False,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,49,195735.jpg,0.0,Pépé,0.0,False,,u,1,3,0,667,0,6423,1,0.0,0.0,Pepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,772,328,770,328,764,324,775,330,,,,,,,0,0,0,0,0,0,240,155,731,302,775,330,543,192,0,0
,,225321,0,0,-5,5,0,1,0.5,0.5,0,Aaron,0.0,17,False,,,45,225321.jpg,3.4,Ramsdale,5.9,False,,a,1,3,17,265893,55,1463834,298,0.0,3.8,Ramsdale,450,0,0,2,4,0,0,0,0,0,6,0,77,55.8,0.0,0.0,5.6,5,0.00,0.01,0.01,4.84,388,28,684,84,664,79,436,28,,,,,,,0.0,1.2,0.0,0.0,0.97,0.8,392,22,621,89,104,14,66,12,1.0,0.4
0,0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,18,False,Contract terminated,2023-08-20T06:33:02.960208Z,40,115918.jpg,0.0,Rúnarsson,0.1,False,,u,1,3,0,990,0,11204,5,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,559,63,544,46,501,35,564,63,,,,,,,0,0,0,0,0,0,670,43,437,55,569,62,448,64,0,0
100,100,223340,0,0,5,-5,2,3,6.0,6.0,0,Bukayo,5.5,19,True,,2023-11-09T08:30:08.290130Z,90,223340.jpg,5.9,Saka,59.2,False,,a,1,3,129,4760403,2627,4615725,15308,0.6,14.3,Saka,1921,8,8,7,22,0,0,0,2,0,0,16,464,654.6,858.6,785.0,230.0,22,8.45,7.04,15.49,17.01,5,2,4,3,7,3,2,2,1,,,,1,,0.4,0.0,0.33,0.73,0.8,1.03,6,4,19,10,8,4,2,1,1.03,0.33
100,100,462424,0,0,6,-6,0,2,2.7,2.7,0,William,2.2,20,False,,2023-10-09T08:30:07.861646Z,56,462424.jpg,3.7,Saliba,35.7,False,,a,1,3,84,3650865,2125,2120857,5528,0.4,15.0,Saliba,2070,1,1,8,22,0,0,0,3,0,0,6,426,414.4,95.3,65.0,57.6,23,1.17,0.63,1.80,17.98,62,18,231,61,254,71,164,39,,,,,,,0.05,0.0,0.03,0.08,0.78,0.96,96,8,141,45,72,9,7,2,1.0,0.35
100,100,209289,0,0,-2,2,0,3,1.5,1.5,0,Emile,1.0,22,False,,2023-11-02T11:00:07.493976Z,53,209289.jpg,1.9,Smith Rowe,0.1,False,,a,1,3,15,5767,15,16792,7,0.2,2.8,Smith Rowe,207,0,1,2,0,0,0,0,0,0,0,0,43,48.2,39.3,70.0,15.6,2,1.05,0.28,1.33,1.11,400,177,345,179,240,129,371,167,,,,,,,0.46,0.0,0.12,0.58,0.48,0.0,144,90,254,119,323,139,414,134,0.87,0.87
0,0,192895,0,0,-1,1,0,2,0.0,0.0,0,Kieran,0.0,24,False,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,44,192895.jpg,0.0,Tierney,0.1,False,,u,1,3,0,2665,0,28651,4,0.0,0.0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,656,254,644,254,613,249,660,254,,,,,,,0,0,0,0,0,0,523,99,568,232,667,252,416,162,0,0
75,75,223723,0,0,0,0,1,2,0.4,0.4,0,Takehiro,0.0,25,False,International Duty - 75% chance of playing,2023-12-02T18:30:08.259180Z,45,223723.jpg,3.0,Tomiyasu,0.3,False,,d,1,3,39,80002,28,89540,30,0.0,8.7,Tomiyasu,628,1,1,3,5,0,0,0,0,1,0,3,147,139.6,67.8,57.0,26.2,5,0.48,0.41,0.89,7.25,292,115,283,91,275,81,311,109,,,,,,,0.07,0.0,0.06,0.13,1.04,0.72,391,72,620,248,156,37,301,115,0.72,0.43
100,100,116216,0,0,-5,5,2,3,4.7,4.7,0,Leandro,4.2,26,False,,2023-10-09T08:30:07.911344Z,65,116216.jpg,3.4,Trossard,1.7,False,,a,1,3,64,310131,489,696902,193,0.6,9.8,Trossard,753,5,1,3,7,0,0,0,0,0,0,8,174,252.2,209.2,344.0,80.4,7,4.28,1.56,5.84,6.84,186,77,115,81,57,34,103,66,4,,,,,,0.51,0.0,0.19,0.7,0.82,0.84,45,26,41,20,110,58,146,43,0.84,0.36
100,100,198869,0,0,1,-1,2,2,2.7,2.7,0,Benjamin,2.2,29,False,,2023-11-12T02:00:08.673390Z,56,198869.jpg,3.5,White,10.4,False,,a,1,3,78,1454586,711,1407119,1820,0.4,13.9,White,1745,1,2,7,21,0,0,0,5,0,0,7,395,398.0,309.5,119.0,82.7,20,0.75,2.23,2.98,15.72,74,26,67,11,177,34,98,15,,,,,,,0.04,0.0,0.12,0.16,0.81,1.08,92,7,140,44,100,16,40,12,1.03,0.36
0,0,84450,0,0,0,0,0,3,0.0,0.0,0,Granit,0.0,30,False,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,84450.jpg,0.0,Xhaka,0.0,False,,u,1,3,0,0,0,1223,0,0.0,0.0,Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,803,350,803,350,803,350,803,350,,,,,,,0,0,0,0,0,0,62,38,791,343,802,350,689,275,0,0
75,75,206325,0,0,2,-2,2,2,3.0,3.0,0,Oleksandr,3.5,31,False,Calf injury - 75% chance of playing,2024-02-05T08:30:09.070071Z,52,206325.jpg,4.0,Zinchenko,9.8,False,,d,1,3,85,1559392,622,1280324,5280,0.7,16.3,Zinchenko,1427,1,2,7,13,0,0,0,2,0,0,13,379,347.6,398.5,127.0,87.3,17,0.49,2.43,2.92,10.68,103,38,41,6,167,28,86,10,,,,,,,0.03,0.0,0.15,0.18,0.67,0.82,157,16,64,16,52,6,43,13,1.07,0.44
100,100,154561,0,0,-1,1,0,1,3.5,3.5,0,David,3.0,113,False,,2023-11-13T01:00:08.923385Z,49,154561.jpg,3.7,Raya Martin,6.2,False,,a,1,3,67,843454,1156,741505,842,0.6,13.7,Raya,1620,0,0,6,18,0,1,0,0,0,31,3,304,273.4,0.0,0.0,27.3,18,0.00,0.02,0.02,13.14,163,20,767,88,761,86,304,20,,,,,,,0.0,1.72,0.0,0.0,0.73,1.0,233,8,81,8,70,8,60,11,1.0,0.33
100,100,204480,0,0,-1,1,1,3,2.7,2.7,0,Declan,2.2,540,False,,2024-01-20T15:30:10.454900Z,54,204480.jpg,3.4,Rice,4.6,False,,a,1,3,78,503609,814,714950,603,0.4,14.4,Rice,1995,3,2,8,21,0,0,0,3,0,0,7,413,510.2,336.6,181.0,102.9,23,1.63,1.65,3.28,17.22,36,12,61,49,126,80,56,42,2,,2,,,,0.07,0.0,0.07,0.14,0.78,0.95,119,72,136,58,108,57,75,26,1.04,0.36
100,100,200641,0,0,-2,2,0,3,0.7,0.7,0,Reiss,0.2,578,False,,2023-08-07T15:30:06.067296Z,48,200641.jpg,0.9,Nelson,0.0,False,,a,1,3,9,6493,13,7825,4,0.0,1.9,Nelson,113,0,0,0,0,0,0,0,1,0,0,0,29,22.6,41.5,15.0,7.8,0,0.04,0.33,0.37,1.73,442,197,339,177,398,197,421,194,,,,,,,0.03,0.0,0.26,0.29,1.38,0.0,292,190,372,174,500,238,551,197,0.0,0.0
0,0,445122,0,0,-4,4,0,2,0.0,0.0,0,Jurriën,0.0,585,False,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,46,445122.jpg,0.0,Timber,0.4,False,,i,1,3,0,12540,9,479726,17,0.0,0.0,J.Timber,49,0,0,0,0,0,0,0,1,0,0,0,3,3.6,2.4,0.0,0.6,1,0.00,0.01,0.01,0.28,488,180,447,164,747,260,492,177,,,,,,,0.0,0.0,0.02,0.02,0.51,0.0,349,50,703,252,762,259,241,90,1.84,0.0
,,463748,0,0,0,0,0,1,0.5,0.5,0,Karl,0.0,646,False,,,40,463748.jpg,0.0,Hein,0.1,False,,a,1,3,0,4827,6,4153,7,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,598,76,583,59,540,48,603,76,,,,,,,0,0,0,0,0,0,716,56,478,68,608,75,511,69,0,0
0,0,516874,0,0,0,0,0,3,0.0,0.0,0,Charles,0.0,735,False,Season-long loan to Swansea City,2024-02-04T18:57:41.109017Z,45,516874.jpg,0.0,Sagoe,0.0,False,,u,1,3,0,641,0,499,3,0.0,0.0,Sagoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,736,303,733,304,720,298,741,306,,,,,,,0,0,0,0,0,0,465,278,676,267,741,307,740,303,0,0
,,535262,0,0,0,0,0,2,0.5,0.5,0,Reuell,0.0,736,False,,,40,535262.jpg,0.0,Walters,0.0,False,,a,1,3,0,3008,27,1890,8,0.0,0.0,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,623,240,608,239,569,229,628,240,,,,,,,0,0,0,0,0,0,747,228,504,198,633,236,578,213,0,0
0,0,535264,0,0,0,0,0,3,0.0,0.0,0,Bradley,0.0,737,False,Permanent transfer to Hertha Berlin,2024-02-02T15:30:45.761395Z,45,535264.jpg,0.0,Ibrahim,0.0,False,,u,1,3,0,549,0,462,0,0.0,0.0,Ibrahim,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,745,309,742,310,731,305,750,312,,,,,,,0,0,0,0,0,0,478,286,686,273,749,312,739,302,0,0
,,499169,0,0,0,0,0,3,0.5,0.5,0,Myles,0.0,764,False,,,45,499169.jpg,0.0,Lewis-Skelly,0.0,False,,a,1,3,0,103,6,39,1,0.0,0.0,Lewis-Skelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,727,295,722,295,708,288,732,298,,,,,,,0,0,0,0,0,0,451,266,663,256,732,299,783,331,0,0
,,499175,0,0,0,0,0,3,0.5,0.5,0,Ethan,0.0,772,False,,,45,499175.jpg,0.0,Nwaneri,0.0,False,,a,1,3,0,70,3,34,0,0.0,0.0,Nwaneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,728,296,723,296,709,289,733,299,,,,,,,0,0,0,0,0,0,452,267,664,257,733,300,796,343,0,0
100,100,106468,0,0,1,-1,2,2,5.0,5.0,0,Alexandre,5.0,32,False,,2023-09-24T22:30:06.810510Z,51,106468.jpg,3.5,Moreno Lopera,2.3,False,,a,2,7,35,334251,3407,106051,612,1.0,6.9,Alex Moreno,535,2,0,2,10,1,0,0,0,0,0,5,122,158.0,104.0,120.0,38.1,5,1.05,0.82,1.87,7.89,274,106,222,57,175,33,243,75,,,,,,,0.18,0.0,0.14,0.32,1.33,1.68,163,17,23,3,99,15,125,53,0.84,0.34
100,100,215711,0,0,1,-1,1,3,3.5,3.5,0,Leon,3.5,34,False,,2023-12-15T09:30:09.140206Z,56,215711.jpg,4.2,Bailey,3.5,False,,a,2,7,88,763909,1763,507728,1233,0.6,15.7,Bailey,1009,7,6,4,13,0,0,0,3,0,0,6,280,418.0,369.6,355.0,114.2,10,3.12,3.92,7.04,15.27,61,23,47,38,52,29,42,30,3,,,,,,0.28,0.0,0.35,0.63,1.36,1.16,93,57,66,29,41,27,92,30,0.89,0.36
0,0,195546,0,0,-3,3,0,3,0.0,0.0,0,Emiliano,0.0,35,False,Knee injury - Expected back 13 Apr,2023-08-10T11:00:05.686871Z,57,195546.jpg,0.0,Buendía Stati,0.0,False,,i,2,7,0,799,3,17160,4,0.0,0.0,Buendia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,801,349,801,349,801,349,801,349,,,,,,,0,0,0,0,0,0,85,52,787,340,800,349,554,199,0,0
100,100,199796,0,0,1,-1,1,2,0.8,0.8,0,Matty,0.8,36,False,,2023-12-22T23:30:09.762009Z,46,199796.jpg,2.6,Cash,15.3,False,,a,2,7,53,3797601,1526,3102108,2573,0.2,11.5,Cash,1399,2,1,3,21,1,0,0,5,0,0,4,253,320.8,165.7,327.0,81.4,16,3.96,1.87,5.83,20.72,125,44,146,30,60,1,102,17,,,,,,,0.25,0.0,0.12,0.37,1.33,1.35,340,43,275,90,209,61,27,9,1.03,0.19
,,101184,0,0,-2,2,0,2,0.0,0.0,0,Calum,0.0,37,False,,,38,101184.jpg,0.0,Chambers,1.1,False,,a,2,7,0,75825,1803,103804,159,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,522,184,502,183,455,165,526,183,,,,,,,0,0,0,0,0,0,806,259,389,132,532,180,182,72,0,0
0,0,84583,0,0,-2,2,0,3,0.0,0.0,0,Philippe,0.0,38,False,Joined Al-Duhail on loan for the rest of the season,2023-08-20T22:00:05.790965Z,58,84583.jpg,1.0,Coutinho Correia,0.2,False,,u,2,7,2,4781,0,47770,6,0.0,0.3,Coutinho,24,0,0,0,1,0,0,0,0,0,0,0,7,4.0,2.8,12.0,1.8,0,0.15,0.02,0.17,0.68,485,217,445,218,411,203,477,216,,,,,,,0.56,0.0,0.08,0.64,2.55,3.75,73,47,788,341,490,232,347,108,0.0,0.0
0,0,221239,0,0,-1,1,0,4,0.0,0.0,0,Keinan,0.0,39,False,Transferred to Udinese,2023-09-03T20:12:01.415986Z,49,221239.jpg,0.0,Davis,0.1,False,,u,2,7,0,4950,0,23204,1,0.0,0.0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,775,95,772,95,766,95,777,95,,,,,,,0,0,0,0,0,0,249,54,735,85,777,96,399,62,0,0
0,0,151589,0,0,-1,1,1,3,0.0,0.0,0,Leander,0.0,40,False,Has joined Napoli on loan for the remainder of the season,2024-01-29T08:13:57.106504Z,49,151589.jpg,2.5,Dendoncker,0.0,False,,u,2,7,20,3934,0,5050,7,0.0,4.1,Dendoncker,118,1,1,0,3,0,0,0,0,0,0,3,64,59.2,3.9,37.0,10.0,1,0.73,0.01,0.74,1.58,380,166,441,216,315,166,410,188,,,,,,,0.56,0.0,0.01,0.57,1.21,2.29,232,150,728,299,226,97,607,228,0.76,0.0
100,100,165659,0,0,-1,1,0,2,2.8,2.8,0,Diego Carlos,2.8,41,False,,2023-11-10T02:00:09.636100Z,44,165659.jpg,2.3,Santos Silva,0.7,False,,a,2,7,37,98658,465,80054,120,0.6,8.4,Diego Carlos,1066,0,0,4,15,0,0,0,3,0,0,1,208,212.0,42.6,65.0,31.9,12,0.58,0.28,0.86,15.39,222,79,337,114,253,70,279,95,,,,,,,0.05,0.0,0.02,0.07,1.3,1.27,514,92,89,22,256,82,206,81,1.01,0.34
75,75,101188,0,0,1,-1,1,2,0.0,0.0,0,Lucas,0.0,42,False,Lack of match fitness - 75% chance of playing,2023-12-27T18:30:08.720986Z,46,101188.jpg,3.1,Digne,2.5,False,,d,2,7,56,986189,34,896525,605,0.0,12.2,Digne,1521,0,3,5,20,0,0,0,5,0,0,2,283,278.2,467.3,122.0,86.8,18,0.37,2.74,3.11,21.91,157,58,28,5,171,30,88,11,4,,2,,,,0.02,0.0,0.16,0.18,1.3,1.18,335,40,701,250,140,33,123,51,1.07,0.3
100,100,230046,0,0,0,0,2,3,2.2,2.2,0,Douglas Luiz,2.2,43,False,,2023-12-09T20:00:09.137355Z,55,230046.jpg,4.7,Soares de Paulo,8.7,False,,a,2,7,103,2185241,4622,1587070,3252,0.4,18.7,Douglas Luiz,1878,6,4,5,29,0,0,0,6,0,0,19,464,537.6,575.0,253.0,136.6,22,5.03,3.37,8.40,27.90,31,11,16,11,81,53,25,15,1,,1,,1,,0.24,0.0,0.16,0.4,1.34,1.39,107,65,139,59,30,20,45,16,1.05,0.24
0,0,476344,0,0,0,0,0,4,0.0,0.0,0,Jhon,0.2,44,False,Hamstring injury - Unknown return date,2024-01-25T17:30:08.815370Z,50,476344.jpg,1.7,Durán,0.2,False,,i,2,7,24,50846,7,49153,42,0.0,4.8,Duran,174,2,1,0,1,0,0,0,4,0,0,3,72,81.2,30.5,103.0,20.8,0,1.23,0.05,1.27,2.22,353,40,360,49,195,42,346,44,,,,,,,0.64,0.0,0.03,0.67,1.15,0.52,210,47,378,47,354,47,355,54,0.0,0.0
,,123354,0,0,-1,1,0,2,0.0,0.0,0,Kortney,0.0,45,False,,,39,123354.jpg,0.0,Hause,0.2,False,,a,2,7,0,13576,14,19709,10,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,529,187,511,186,465,169,533,186,,,,,,,0,0,0,0,0,0,767,240,400,137,539,183,328,129,0,0
100,100,490094,0,0,-1,1,0,3,0.2,0.2,0,Tim,0.2,46,False,,2023-08-10T15:00:04.998490Z,44,490094.jpg,1.0,Iroegbunam,0.0,False,,a,2,7,2,1643,10,3897,1,0.0,0.5,Iroegbunam,23,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.8,0.0,0.1,0,0.00,0.00,0.00,1.11,505,229,466,226,636,250,518,236,,,,,,,0.0,0.0,0.0,0.0,4.34,0.0,569,323,354,164,444,199,615,232,0.0,0.0
100,100,226944,0,0,0,0,0,3,1.8,1.8,0,Boubacar,1.8,47,False,,2023-12-17T21:30:08.114524Z,50,226944.jpg,2.0,Kamara,0.1,False,,a,2,7,38,15580,40,18757,17,0.4,7.6,Kamara,1589,0,1,7,21,0,0,0,7,1,0,1,228,242.4,288.2,44.0,57.3,19,0.13,1.35,1.48,23.28,195,79,75,56,301,160,169,88,,,,,,,0.01,0.0,0.08,0.09,1.32,1.19,200,124,175,77,307,132,406,131,1.08,0.4
